fold,samples,accuracy,precision_macro,recall_macro,f1_macro,gflops
1,366.0,0.7814207650273224,0.6188167388167388,0.5870260145771578,0.578931064822496,0.413959232
2,366.0,0.7486338797814208,0.5682723814381031,0.611782206873077,0.564336156763044,0.413959232
3,366.0,0.7814207650273224,0.6228850423592254,0.6392062346275603,0.608522435538468,0.413959232
4,366.0,0.7923497267759563,0.6207763864042934,0.5817424389140985,0.5761754825344121,0.413959232
5,366.0,0.7841530054644809,0.632190784550415,0.5879885814220775,0.5859232523662903,0.413959232
mean,366.0,0.7775956284153005,0.6125882667137551,0.6015490952827942,0.582777678404942,0.413959232
