fold,epoch,class,accuracy,precision,recall,f1-score,overall_accuracy
1,1,0,0.8885017421602788,0.9107142857142857,0.8885017421602788,0.8994708994708994,0.6621160409556314
1,1,1,0.4166666666666667,0.3787878787878788,0.4166666666666667,0.3968253968253968,0.6621160409556314
1,1,2,0.4444444444444444,0.72,0.4444444444444444,0.549618320610687,0.6621160409556314
1,1,3,0.6666666666666666,0.21978021978021978,0.6666666666666666,0.3305785123966942,0.6621160409556314
1,1,4,0.3404255319148936,0.32653061224489793,0.3404255319148936,0.3333333333333333,0.6621160409556314
1,2,0,0.7491289198606271,0.9728506787330317,0.7491289198606271,0.8464566929133859,0.60580204778157
1,2,1,0.65,0.30952380952380953,0.65,0.41935483870967744,0.60580204778157
1,2,2,0.42592592592592593,0.7419354838709677,0.42592592592592593,0.5411764705882353,0.60580204778157
1,2,3,0.7666666666666667,0.1885245901639344,0.7666666666666667,0.3026315789473684,0.60580204778157
1,2,4,0.19148936170212766,0.375,0.19148936170212766,0.2535211267605634,0.60580204778157
1,3,0,0.8815331010452961,0.9693486590038314,0.8815331010452961,0.9233576642335767,0.6860068259385665
1,3,1,0.6333333333333333,0.3958333333333333,0.6333333333333333,0.48717948717948717,0.6860068259385665
1,3,2,0.4567901234567901,0.7326732673267327,0.4567901234567901,0.5627376425855514,0.6860068259385665
1,3,3,0.6666666666666666,0.21978021978021978,0.6666666666666666,0.3305785123966942,0.6860068259385665
1,3,4,0.3617021276595745,0.4594594594594595,0.3617021276595745,0.40476190476190477,0.6860068259385665
1,4,0,0.8397212543554007,0.9836734693877551,0.8397212543554007,0.9060150375939849,0.6672354948805461
1,4,1,0.6,0.3870967741935484,0.6,0.47058823529411764,0.6672354948805461
1,4,2,0.47530864197530864,0.7938144329896907,0.47530864197530864,0.5945945945945946,0.6672354948805461
1,4,3,0.7,0.1810344827586207,0.7,0.2876712328767123,0.6672354948805461
1,4,4,0.3404255319148936,0.45714285714285713,0.3404255319148936,0.3902439024390244,0.6672354948805461
