fold,samples,accuracy,precision_macro,recall_macro,f1_macro,gflops
1,366.0,0.7759562841530054,0.619991892699883,0.6063654927165176,0.5901164943568518,0.413996864
2,366.0,0.7240437158469946,0.5791253222432997,0.5714231616623903,0.5384014183479495,0.413996864
3,366.0,0.7486338797814208,0.6066260196122897,0.6108050857273645,0.5734887522553541,0.413996864
4,366.0,0.7459016393442623,0.5961484831354815,0.5878368176242945,0.562197410677948,0.413996864
5,366.0,0.7459016393442623,0.5796320235604122,0.5863383547524332,0.5642538220431139,0.413996864
mean,366.0,0.7480874316939892,0.5963047482502732,0.5925537824966,0.5656915795362434,0.413996864
