fold,epoch,class,accuracy,precision,recall,f1-score,overall_accuracy
1,1,0,0.710801393728223,0.7132867132867133,0.710801393728223,0.7120418848167539,0.5085324232081911
1,1,1,0.13333333333333333,0.11594202898550725,0.13333333333333333,0.12403100775193798,0.5085324232081911
1,1,2,0.48148148148148145,0.484472049689441,0.48148148148148145,0.48297213622291024,0.5085324232081911
1,1,3,0.1,0.08333333333333333,0.1,0.09090909090909091,0.5085324232081911
1,1,4,0.10638297872340426,0.14705882352941177,0.10638297872340426,0.12345679012345678,0.5085324232081911
1,2,0,0.9721254355400697,0.768595041322314,0.9721254355400697,0.8584615384615385,0.6416382252559727
1,2,1,0.21666666666666667,0.3170731707317073,0.21666666666666667,0.25742574257425743,0.6416382252559727
1,2,2,0.3888888888888889,0.6176470588235294,0.3888888888888889,0.4772727272727273,0.6416382252559727
1,2,3,0.36666666666666664,0.2619047619047619,0.36666666666666664,0.3055555555555556,0.6416382252559727
1,2,4,0.2127659574468085,0.2631578947368421,0.2127659574468085,0.23529411764705882,0.6416382252559727
1,3,0,0.9895470383275261,0.8137535816618912,0.9895470383275261,0.8930817610062893,0.689419795221843
1,3,1,0.21666666666666667,0.4642857142857143,0.21666666666666667,0.29545454545454547,0.689419795221843
1,3,2,0.4876543209876543,0.6694915254237288,0.4876543209876543,0.5642857142857143,0.689419795221843
1,3,3,0.4666666666666667,0.2978723404255319,0.4666666666666667,0.36363636363636365,0.689419795221843
1,3,4,0.2978723404255319,0.3181818181818182,0.2978723404255319,0.3076923076923077,0.689419795221843
1,4,0,0.9930313588850174,0.8382352941176471,0.9930313588850174,0.9090909090909091,0.71160409556314
1,4,1,0.26666666666666666,0.47058823529411764,0.26666666666666666,0.3404255319148936,0.71160409556314
1,4,2,0.5246913580246914,0.6910569105691057,0.5246913580246914,0.5964912280701754,0.71160409556314
1,4,3,0.5333333333333333,0.3333333333333333,0.5333333333333333,0.41025641025641024,0.71160409556314
1,4,4,0.3191489361702128,0.36585365853658536,0.3191489361702128,0.3409090909090909,0.71160409556314
1,5,0,0.9965156794425087,0.8461538461538461,0.9965156794425087,0.9152,0.726962457337884
1,5,1,0.2833333333333333,0.5151515151515151,0.2833333333333333,0.3655913978494624,0.726962457337884
