fold,samples,accuracy,precision_macro,recall_macro,f1_macro,gflops
1,366.0,0.7650273224043715,0.6264806500147286,0.5729391131698817,0.553880871421302,0.413871424
2,366.0,0.8032786885245902,0.6292759557857872,0.6192472782499998,0.6138535128944336,0.413871424
3,366.0,0.7923497267759563,0.6270643328509978,0.625867137642852,0.6147822373704727,0.413871424
4,366.0,0.7486338797814208,0.5969599625541193,0.5656195786233399,0.5520721089393532,0.413871424
5,366.0,0.7021857923497268,0.5929405684754523,0.592460637442545,0.5548551025183248,0.413871424
mean,366.0,0.7622950819672132,0.6145442939362169,0.5952267490257237,0.5778887666287772,0.413871424
