fold,epoch,class,accuracy,precision,recall,f1-score,overall_accuracy
1,1,0,0.8850174216027874,0.9236363636363636,0.8850174216027874,0.9039145907473309,0.5955631399317406
1,1,1,0.5833333333333334,0.33653846153846156,0.5833333333333334,0.4268292682926829,0.5955631399317406
1,1,2,0.12962962962962962,0.6774193548387096,0.12962962962962962,0.21761658031088082,0.5955631399317406
1,1,3,0.8,0.2222222222222222,0.8,0.34782608695652173,0.5955631399317406
1,1,4,0.3191489361702128,0.22058823529411764,0.3191489361702128,0.2608695652173913,0.5955631399317406
1,2,0,0.8954703832752613,0.969811320754717,0.8954703832752613,0.9311594202898551,0.6552901023890785
1,2,1,0.5833333333333334,0.44871794871794873,0.5833333333333334,0.5072463768115942,0.6552901023890785
1,2,2,0.3271604938271605,0.726027397260274,0.3271604938271605,0.451063829787234,0.6552901023890785
1,2,3,0.6333333333333333,0.16379310344827586,0.6333333333333333,0.2602739726027397,0.6552901023890785
1,2,4,0.425531914893617,0.37037037037037035,0.425531914893617,0.39603960396039606,0.6552901023890785
1,3,0,0.89198606271777,0.9770992366412213,0.89198606271777,0.9326047358834244,0.6535836177474402
1,3,1,0.6666666666666666,0.43010752688172044,0.6666666666666666,0.5228758169934641,0.6535836177474402
1,3,2,0.29012345679012347,0.7230769230769231,0.29012345679012347,0.41409691629955947,0.6535836177474402
1,3,3,0.5333333333333333,0.17582417582417584,0.5333333333333333,0.2644628099173554,0.6535836177474402
1,3,4,0.5106382978723404,0.32,0.5106382978723404,0.39344262295081966,0.6535836177474402
1,4,0,0.9372822299651568,0.9781818181818182,0.9372822299651568,0.9572953736654805,0.742320819112628
1,4,1,0.7166666666666667,0.5119047619047619,0.7166666666666667,0.5972222222222222,0.742320819112628
1,4,2,0.5,0.8181818181818182,0.5,0.6206896551724138,0.742320819112628
1,4,3,0.7,0.25925925925925924,0.7,0.3783783783783784,0.742320819112628
1,4,4,0.44680851063829785,0.44680851063829785,0.44680851063829785,0.44680851063829785,0.742320819112628
1,5,0,0.9372822299651568,0.9781818181818182,0.9372822299651568,0.9572953736654805,0.7354948805460751
1,5,1,0.6166666666666667,0.4868421052631579,0.6166666666666667,0.5441176470588235,0.7354948805460751
1,5,2,0.49382716049382713,0.7692307692307693,0.49382716049382713,0.6015037593984962,0.7354948805460751
1,5,3,0.6666666666666666,0.2597402597402597,0.6666666666666666,0.37383177570093457,0.7354948805460751
1,5,4,0.5319148936170213,0.46296296296296297,0.5319148936170213,0.49504950495049505,0.7354948805460751
1,6,0,0.9233449477351916,0.977859778597786,0.9233449477351916,0.9498207885304659,0.7337883959044369
1,6,1,0.65,0.47560975609756095,0.65,0.5492957746478874,0.7337883959044369
1,6,2,0.5493827160493827,0.7542372881355932,0.5493827160493827,0.6357142857142857,0.7337883959044369
1,6,3,0.43333333333333335,0.22033898305084745,0.43333333333333335,0.29213483146067415,0.7337883959044369
1,6,4,0.5106382978723404,0.42857142857142855,0.5106382978723404,0.46601941747572817,0.7337883959044369
1,7,0,0.89198606271777,0.9884169884169884,0.89198606271777,0.9377289377289377,0.7696245733788396
1,7,1,0.6166666666666667,0.47435897435897434,0.6166666666666667,0.5362318840579711,0.7696245733788396
1,7,2,0.7407407407407407,0.7741935483870968,0.7407407407407407,0.7570977917981072,0.7696245733788396
1,7,3,0.5,0.2777777777777778,0.5,0.35714285714285715,0.7696245733788396
1,7,4,0.48936170212765956,0.575,0.48936170212765956,0.5287356321839081,0.7696245733788396
1,8,0,0.9233449477351916,0.9888059701492538,0.9233449477351916,0.954954954954955,0.7576791808873721
1,8,1,0.6833333333333333,0.5061728395061729,0.6833333333333333,0.5815602836879432,0.7576791808873721
1,8,2,0.5802469135802469,0.7899159663865546,0.5802469135802469,0.6690391459074733,0.7576791808873721
1,8,3,0.5666666666666667,0.3617021276595745,0.5666666666666667,0.44155844155844154,0.7576791808873721
1,8,4,0.574468085106383,0.38028169014084506,0.574468085106383,0.4576271186440678,0.7576791808873721
1,9,0,0.8710801393728222,0.9960159362549801,0.8710801393728222,0.929368029739777,0.7508532423208191
1,9,1,0.6166666666666667,0.43023255813953487,0.6166666666666667,0.5068493150684932,0.7508532423208191
1,9,2,0.6975308641975309,0.7483443708609272,0.6975308641975309,0.7220447284345048,0.7508532423208191
1,9,3,0.4666666666666667,0.2978723404255319,0.4666666666666667,0.36363636363636365,0.7508532423208191
1,9,4,0.5531914893617021,0.5098039215686274,0.5531914893617021,0.5306122448979592,0.7508532423208191
1,10,0,0.9198606271777003,0.9924812030075187,0.9198606271777003,0.9547920433996383,0.764505119453925
1,10,1,0.5833333333333334,0.5147058823529411,0.5833333333333334,0.546875,0.764505119453925
1,10,2,0.6481481481481481,0.7553956834532374,0.6481481481481481,0.6976744186046512,0.764505119453925
1,10,3,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.3888888888888889,0.764505119453925
1,10,4,0.6382978723404256,0.4225352112676056,0.6382978723404256,0.5084745762711864,0.764505119453925
1,11,0,0.8780487804878049,0.9921259842519685,0.8780487804878049,0.9316081330868762,0.7389078498293515
1,11,1,0.4166666666666667,0.373134328358209,0.4166666666666667,0.3937007874015748,0.7389078498293515
1,11,2,0.7222222222222222,0.7090909090909091,0.7222222222222222,0.7155963302752294,0.7389078498293515
1,11,3,0.4,0.3157894736842105,0.4,0.35294117647058826,0.7389078498293515
1,11,4,0.574468085106383,0.43548387096774194,0.574468085106383,0.4954128440366973,0.7389078498293515
1,12,0,0.9407665505226481,0.9926470588235294,0.9407665505226481,0.9660107334525939,0.7815699658703071
1,12,1,0.43333333333333335,0.5416666666666666,0.43333333333333335,0.48148148148148145,0.7815699658703071
1,12,2,0.7592592592592593,0.7151162790697675,0.7592592592592593,0.7365269461077845,0.7815699658703071
